,dependency,repo,dependencyType,monthsFromAbandonmentToRemoval,depAbandonedAt,abandonmentTypeBinary,statusEver,repoAgeAtAbandonment,totalNumDependencies,numNormalDeps,numDevDeps,totalDependencyChurn,repoSize,numCommits,numMaintainers,numCorporateCommits,useDepManagementTools,hasCoC,hasContributing,hasLicense,hasIssueTemplate,hasPRTemplate,hasREADME,numREADMEHeaders,avgTechnicalLagDays,medianTechnicalLagDays,hasTechnicalLag,numIssuesOpened,numIssuesClosed,latestCommit,numStarsCurrent
353,i18next-xhr-backend,Fliskr/exchange-app,dependency,NA,4/1/20,explicit-notice,0,7,118,35,83,118,1912,10,2,0,0,0,0,0,0,0,1,1,237.2844037,225,1,0,0,5/1/21,0
441,isomorphic-fetch,folio-org/ui-checkin,dependency,8,12/1/17,activity-based,1,4,25,8,13,27,72,45,6,0,0,0,1,1,0,0,1,3,83.66666667,0,1,0,0,11/1/23,1
602,react-router-redux,foobarhq/reworkjs,peerDependency,0,7/1/18,explicit-notice,1,22,97,68,19,521,1688,165,1,0,0,1,0,1,0,0,1,3,49.21052632,0,1,14,0,9/1/21,12
573,react-navigation-stack,francis-cantarin/devadventures,dependency,NA,2/1/20,explicit-notice,0,3,31,12,19,31,7560,5,1,0,1,0,0,0,0,0,1,0,48.5,0,1,0,0,5/1/20,0
515,tslint,fredrik-hjarner/Zynthinator,dependency,NA,1/1/20,explicit-notice,0,24,56,31,25,0,2008,0,0,0,0,0,0,0,0,0,1,5,185.9245283,0,1,0,0,7/1/20,6
485,gift,freezy/node-pind,dependency,NA,3/1/18,activity-based,0,50,44,40,4,0,10540,0,0,0,0,0,0,1,0,0,1,0,144.3953488,0,1,0,0,12/1/19,2
449,isomorphic-fetch,Frontcore/frontcore-web,dependency,NA,12/1/17,activity-based,0,11,70,30,40,120,1176,25,2,0,0,0,0,1,0,0,1,1,209.3768116,144,1,4,0,4/1/19,0
871,extract-text-webpack-plugin,FuroraMedia/furora-main,devDependency,NA,5/1/19,explicit-notice,0,31,78,40,38,167,1812,27,1,0,0,0,0,0,0,0,1,6,15.41558442,0,1,0,0,11/1/19,0
943,@zeit/next-css,g0621/Advanced-Portfolio,dependency,NA,12/1/20,explicit-notice,0,8,35,35,0,35,1776,1,1,0,0,0,0,0,0,0,1,1,76.47058824,0,1,0,0,1/1/22,1
241,markdown,g0v/jothon-net,dependency,48,2/1/19,explicit-notice,1,15,44,44,0,1,54464,35,2,0,0,0,0,1,0,0,1,0,646.1627907,616,1,1,0,10/1/23,11
955,react-tap-event-plugin,G3F4/optimizing-react,dependency,6,5/1/18,explicit-notice,1,11,11,11,0,11,44592,4,2,0,0,0,0,1,0,0,1,1,185.8,167.5,1,0,0,10/1/19,5
225,gatsby-plugin-prefetch-google-fonts,gabehercules/Portfolio_V2,dependency,0,11/1/20,explicit-notice,1,2,20,19,1,23,5272,14,1,0,0,0,0,1,0,0,1,4,1.789473684,0,1,0,0,7/1/21,1
549,node-opus,Gabolicious/AlfredBot,dependency,36,4/1/20,explicit-notice,1,10,23,23,0,26,688,50,3,0,0,0,0,1,0,0,1,73,134,0,1,0,0,10/1/23,6
128,icu-bidi,galkahana/hummus-services,dependency,42,1/1/17,activity-based,1,14,77,30,47,68,4544,105,1,0,0,0,0,0,0,0,1,1,53.85135135,0,1,0,0,10/1/22,0
271,react-scrollable-anchor,gapsong/CodeConnect,dependency,NA,4/1/18,activity-based,0,18,79,67,12,72,2320,427,2,0,0,0,0,0,0,0,1,11,183.8289474,0,1,2,1,10/1/18,1
