npmPackageName,slug,repoArchived,READMEKeyword,READMEBadge,activityBasedAbandoned,maxNumDownloads,isAbandoned,numStars
broccoli-6to5-transpiler,6to5/broccoli-6to5-transpiler,0,0,0,0,17427,0,58
ember-cli-6to5,6to5/ember-cli-6to5,0,0,0,0,18599,0,153
rwlock,71104/rwlock,0,0,0,0,48785,0,34
angularjs-datepicker,720kb/angular-datepicker,1,0,0,1,42057,1,475
angular-socialshare,720kb/angular-socialshare,1,0,0,1,17851,1,507
angular-tooltips,720kb/angular-tooltips,0,0,0,1,27944,1,354
ansi-escape-sequences,75lb/ansi-escape-sequences,0,0,0,0,702868,0,64
app-usage-stats,75lb/app-usage-stats,1,0,0,1,88868,1,0
array-back,75lb/array-back,0,0,0,0,6641090,0,82
array-tools,75lb/array-tools,1,0,0,1,147448,1,9
byte-size,75lb/byte-size,0,0,0,0,6098365,0,70
cache-point,75lb/cache-point,0,0,0,1,261375,1,2
cli-commands,75lb/cli-commands,1,0,0,0,117569,0,1
collect-all,75lb/collect-all,1,1,0,0,461511,1,1
collect-json,75lb/collect-json,1,1,0,0,290193,0,2
column-layout,75lb/column-layout,0,0,0,0,153002,0,22
command-line-args,75lb/command-line-args,0,0,0,0,2156899,0,674
command-line-commands,75lb/command-line-commands,0,0,0,0,228776,0,41
command-line-tool,75lb/command-line-tool,1,0,0,0,250012,0,2
command-line-usage,75lb/command-line-usage,0,0,0,0,3459745,0,201
config-master,75lb/config-master,1,0,0,1,245702,1,1
create-mixin,75lb/create-mixin,0,0,0,0,132808,0,0
feature-detect-es6,75lb/feature-detect-es6,1,0,0,1,348725,1,24
file-set,75lb/file-set,0,0,0,0,340528,0,3
find-replace,75lb/find-replace,0,0,0,0,2143252,0,5
fs-then-native,75lb/fs-then-native,1,0,0,0,258804,0,4
load-module,75lb/load-module,0,0,0,0,196108,0,2
mkdirp2,75lb/mkdirp2,1,1,0,0,260158,0,2
object-get,75lb/object-get,1,1,0,0,299526,1,11
object-tools,75lb/object-tools,1,0,0,0,193339,0,1
renamer,75lb/renamer,0,0,0,0,43120,0,477
req-then,75lb/req-then,1,0,0,1,124747,1,0
sort-array,75lb/sort-array,0,0,0,0,266550,0,41
stream-connect,75lb/stream-connect,1,0,0,1,353193,1,1
stream-handlebars,75lb/stream-handlebars,1,0,0,0,66471,0,2
stream-log-stats,75lb/stream-log-stats,0,0,0,0,152794,0,0
test-value,75lb/test-value,1,0,0,0,1384333,0,1
typical,75lb/typical,0,0,0,0,5546653,0,19
usage-stats,75lb/usage-stats,0,0,0,1,95735,1,12
walk-back,75lb/walk-back,0,0,0,0,712738,0,13
wordwrapjs,75lb/wordwrapjs,0,0,0,0,3413743,0,157
mithril-tie,7korobi/mithril-tie,0,0,NA,0,47525,0,0
postcss-flexibility,7rulnik/postcss-flexibility,0,0,0,0,28975,0,295
vue-photo-preview,826327700/vue-photo-preview,0,0,0,0,13520,0,471
react-native-shadow,879479119/react-native-shadow,0,0,0,1,26084,1,613
@8base/utils,8base/sdk,0,0,0,0,10254,0,30
azure-jwt-verify,99xt/azure-jwt-verify,0,0,0,0,14017,0,18
dynamodb-localhost,99xt/dynamodb-localhost,0,0,0,0,177430,0,35
dynamodb-migrations,99xt/dynamodb-migrations,0,0,0,0,20707,0,18
serverless-dynamodb-local,99xt/serverless-dynamodb-local,0,0,0,0,193464,0,624
serverless-aws-documentation,9cookies/serverless-aws-documentation,1,1,0,0,140545,0,309
@alyle/ui,A-l-y-l-e/Alyle-UI,0,0,0,0,33198,0,289
asenv,a-labo/asenv,0,0,0,0,10685,0,1
asobj,a-labo/asobj,0,0,0,0,11486,0,0
eslint-formatter-autolinkable-stylish,a-tarasyuk/eslint-formatter-autolinkable-stylish,0,0,0,0,14617,0,2
apple-signin-auth,a-tokyo/apple-signin-auth,0,0,0,0,34698,0,138
adjective-adjective-animal,a-type/adjective-adjective-animal,1,1,0,0,13241,0,72
gl-text,a-vis/gl-text,0,0,0,0,323870,0,17
eslint-plugin-coffeescript,a-x-/eslint-plugin-coffeescript,1,0,0,0,22033,1,0
react-easy-print,a-x-/react-easy-print,0,0,0,0,28365,0,86
table-builder,a-x-/table-builder,0,0,0,0,10727,0,19
gulp-beanstalk-deploy,a0ly/gulp-beanstalk-deploy,0,0,0,0,15573,0,7
aria-query,A11yance/aria-query,0,0,0,0,33834820,0,246
axobject-query,A11yance/axobject-query,0,0,0,0,24833858,0,14
